policy,replay_month,actual_trading_date,portfolio_return,bist100_return,excess_return,max_drawdown,cash_weight,selected_model,active_portfolio_size,selected_stock_count,selected_stocks,regime_state,opportunity_filter_enabled,policy_policy,policy_months,policy_cagr,policy_bist100_cagr,policy_excess_cagr,policy_win_rate_vs_bist100,policy_max_drawdown,policy_average_cash_weight,policy_worst_month,policy_worst_month_excess,policy_best_month,policy_best_month_excess
Baseline,2024-01,2024-01-02,0.06719876147528679,0.13401884647733775,-0.06682008500205096,-0.013863906275845772,0.5,volume_heavy,10,5,"GARAN.IS, TCELL.IS, YKBNK.IS, ASELS.IS, FROTO.IS",ABOVE_MA200_RISK_ON,True,Baseline,30,0.11174423381489351,0.22859654327465062,-0.11685230945975711,0.36666666666666664,-0.0961058298904891,0.4933333333333333,2025-06,-0.10965124642664374,2024-09,0.08659413821412065
A_No_cash_allocation,2024-01,2024-01-02,0.13439752295057358,0.13401884647733775,0.00037867647323583387,-0.02668805680090358,0.0,volume_heavy,10,5,"GARAN.IS, TCELL.IS, YKBNK.IS, ASELS.IS, FROTO.IS",ABOVE_MA200_RISK_ON,True,A_No_cash_allocation,30,0.21341543337206503,0.22859654327465062,-0.015181109902585588,0.4,-0.15766963333904171,0.0,2025-06,-0.07763909403803826,2025-03,0.09668780694860593
B_Max_cash_25pct,2024-01,2024-01-02,0.10079814221293018,0.13401884647733775,-0.03322070426440757,-0.02039850079990657,0.25,volume_heavy,10,5,"GARAN.IS, TCELL.IS, YKBNK.IS, ASELS.IS, FROTO.IS",ABOVE_MA200_RISK_ON,True,B_Max_cash_25pct,30,0.1624509374844858,0.22859654327465062,-0.06614560579016482,0.36666666666666664,-0.11942029988039005,0.25,2025-06,-0.09097749086662388,2025-03,0.08229781509050355
C_Max_cash_50pct,2024-01,2024-01-02,0.06719876147528679,0.13401884647733775,-0.06682008500205096,-0.013863906275845772,0.5,volume_heavy,10,5,"GARAN.IS, TCELL.IS, YKBNK.IS, ASELS.IS, FROTO.IS",ABOVE_MA200_RISK_ON,True,C_Max_cash_50pct,30,0.11264334153498945,0.22859654327465062,-0.11595320173966117,0.36666666666666664,-0.0961058298904891,0.48333333333333334,2025-06,-0.1043158876952095,2024-09,0.08659413821412065
D_Always_Top5,2024-01,2024-01-02,0.08373881614774631,0.13401884647733775,-0.05028003032959144,-0.029150242173422547,0.4,volume_heavy,5,3,"GARAN.IS, TCELL.IS, YKBNK.IS",ABOVE_MA200_RISK_ON,True,D_Always_Top5,30,0.08339085292685988,0.22859654327465062,-0.14520569034779074,0.3333333333333333,-0.10035405962123112,0.4200000000000001,2025-06,-0.10965124642664374,2025-01,0.09412463595970594
E_Always_Top10,2024-01,2024-01-02,0.06719876147528679,0.13401884647733775,-0.06682008500205096,-0.013863906275845772,0.5,volume_heavy,10,5,"GARAN.IS, TCELL.IS, YKBNK.IS, ASELS.IS, FROTO.IS",ABOVE_MA200_RISK_ON,True,E_Always_Top10,30,0.08493449273173903,0.22859654327465062,-0.1436620505429116,0.36666666666666664,-0.09543436579584741,0.5033333333333333,2026-01,-0.09908925787280704,2024-09,0.08659413821412065
F_Out_of_sample_winner,2024-01,2024-01-02,0.06736545696615057,0.13401884647733775,-0.06665338951118718,-0.021702133100631182,0.4666666666666667,mixed_model,15,8,"AKBNK.IS, GARAN.IS, SAHOL.IS, TUPRS.IS, FROTO.IS, SISE.IS, PGSUS.IS, ARCLK.IS",ABOVE_MA200_RISK_ON,True,F_Out_of_sample_winner,30,0.14871001102864856,0.22859654327465062,-0.07988653224600206,0.5333333333333333,-0.09663444377764097,0.4666666666666667,2026-01,-0.11195915796122803,2024-09,0.0642295829050277
G_Most_robust_model,2024-01,2024-01-02,0.06736545696615057,0.13401884647733775,-0.06665338951118718,-0.021702133100631182,0.4666666666666667,mixed_model,15,8,"AKBNK.IS, GARAN.IS, SAHOL.IS, TUPRS.IS, FROTO.IS, SISE.IS, PGSUS.IS, ARCLK.IS",ABOVE_MA200_RISK_ON,True,G_Most_robust_model,30,0.14871001102864856,0.22859654327465062,-0.07988653224600206,0.5333333333333333,-0.09663444377764097,0.4666666666666667,2026-01,-0.11195915796122803,2024-09,0.0642295829050277
H_Disable_opportunity_filter,2024-01,2024-01-02,0.14441095758617803,0.13401884647733775,0.01039211110884028,-0.031219261297444123,0.0,volume_heavy,10,10,"AKBNK.IS, GARAN.IS, TCELL.IS, YKBNK.IS, SAHOL.IS, KCHOL.IS, EREGL.IS, BIMAS.IS, ASELS.IS, FROTO.IS",ABOVE_MA200_RISK_ON,False,H_Disable_opportunity_filter,30,0.21914347716099636,0.22859654327465062,-0.009453066113654263,0.4666666666666667,-0.13614562039419909,0.0,2025-04,-0.051006805496163946,2025-03,0.0839589045526572
I_Disable_regime_filter,2024-01,2024-01-02,0.06719876147528679,0.13401884647733775,-0.06682008500205096,-0.013863906275845772,0.5,volume_heavy,10,5,"GARAN.IS, TCELL.IS, YKBNK.IS, ASELS.IS, FROTO.IS",ABOVE_MA200_RISK_ON,True,I_Disable_regime_filter,30,0.11454267003893936,0.22859654327465062,-0.11405387323571126,0.36666666666666664,-0.11428273089953778,0.5,2026-01,-0.09908925787280704,2024-09,0.08659413821412065
Baseline,2024-02,2024-02-01,0.012960919702260622,0.03025653299424569,-0.017295613291985066,-0.01813510306492805,0.5,volume_heavy,10,5,"YKBNK.IS, GARAN.IS, PGSUS.IS, SAHOL.IS, ARCLK.IS",ABOVE_MA200_RISK_ON,True,Baseline,30,0.11174423381489351,0.22859654327465062,-0.11685230945975711,0.36666666666666664,-0.0961058298904891,0.4933333333333333,2025-06,-0.10965124642664374,2024-09,0.08659413821412065
A_No_cash_allocation,2024-02,2024-02-01,0.025921839404521245,0.03025653299424569,-0.0043346935897244435,-0.03480062971401743,0.0,volume_heavy,10,5,"YKBNK.IS, GARAN.IS, PGSUS.IS, SAHOL.IS, ARCLK.IS",ABOVE_MA200_RISK_ON,True,A_No_cash_allocation,30,0.21341543337206503,0.22859654327465062,-0.015181109902585588,0.4,-0.15766963333904171,0.0,2025-06,-0.07763909403803826,2025-03,0.09668780694860593
B_Max_cash_25pct,2024-02,2024-02-01,0.01944137955339093,0.03025653299424569,-0.01081515344085476,-0.026640168182678226,0.25,volume_heavy,10,5,"YKBNK.IS, GARAN.IS, PGSUS.IS, SAHOL.IS, ARCLK.IS",ABOVE_MA200_RISK_ON,True,B_Max_cash_25pct,30,0.1624509374844858,0.22859654327465062,-0.06614560579016482,0.36666666666666664,-0.11942029988039005,0.25,2025-06,-0.09097749086662388,2025-03,0.08229781509050355
C_Max_cash_50pct,2024-02,2024-02-01,0.012960919702260622,0.03025653299424569,-0.017295613291985066,-0.01813510306492805,0.5,volume_heavy,10,5,"YKBNK.IS, GARAN.IS, PGSUS.IS, SAHOL.IS, ARCLK.IS",ABOVE_MA200_RISK_ON,True,C_Max_cash_50pct,30,0.11264334153498945,0.22859654327465062,-0.11595320173966117,0.36666666666666664,-0.0961058298904891,0.48333333333333334,2025-06,-0.1043158876952095,2024-09,0.08659413821412065
D_Always_Top5,2024-02,2024-02-01,-0.02651746338161698,0.03025653299424569,-0.05677399637586267,-0.047888569771933454,0.4,volume_heavy,5,3,"KCHOL.IS, YKBNK.IS, GARAN.IS",ABOVE_MA200_RISK_ON,True,D_Always_Top5,30,0.08339085292685988,0.22859654327465062,-0.14520569034779074,0.3333333333333333,-0.10035405962123112,0.4200000000000001,2025-06,-0.10965124642664374,2025-01,0.09412463595970594
E_Always_Top10,2024-02,2024-02-01,0.012960919702260622,0.03025653299424569,-0.017295613291985066,-0.01813510306492805,0.5,volume_heavy,10,5,"YKBNK.IS, GARAN.IS, PGSUS.IS, SAHOL.IS, ARCLK.IS",ABOVE_MA200_RISK_ON,True,E_Always_Top10,30,0.08493449273173903,0.22859654327465062,-0.1436620505429116,0.36666666666666664,-0.09543436579584741,0.5033333333333333,2026-01,-0.09908925787280704,2024-09,0.08659413821412065
F_Out_of_sample_winner,2024-02,2024-02-01,0.024382596647389287,0.03025653299424569,-0.005873936346856401,-0.017584175073659725,0.4666666666666667,mixed_model,15,8,"BIMAS.IS, SAHOL.IS, YKBNK.IS, AKBNK.IS, TUPRS.IS, FROTO.IS, ASELS.IS, ARCLK.IS",ABOVE_MA200_RISK_ON,True,F_Out_of_sample_winner,30,0.14871001102864856,0.22859654327465062,-0.07988653224600206,0.5333333333333333,-0.09663444377764097,0.4666666666666667,2026-01,-0.11195915796122803,2024-09,0.0642295829050277
G_Most_robust_model,2024-02,2024-02-01,0.024382596647389287,0.03025653299424569,-0.005873936346856401,-0.017584175073659725,0.4666666666666667,mixed_model,15,8,"BIMAS.IS, SAHOL.IS, YKBNK.IS, AKBNK.IS, TUPRS.IS, FROTO.IS, ASELS.IS, ARCLK.IS",ABOVE_MA200_RISK_ON,True,G_Most_robust_model,30,0.14871001102864856,0.22859654327465062,-0.07988653224600206,0.5333333333333333,-0.09663444377764097,0.4666666666666667,2026-01,-0.11195915796122803,2024-09,0.0642295829050277
H_Disable_opportunity_filter,2024-02,2024-02-01,0.004079502229136601,0.03025653299424569,-0.026177030765109088,-0.04118855935447796,0.0,volume_heavy,10,10,"KCHOL.IS, YKBNK.IS, TCELL.IS, GARAN.IS, BIMAS.IS, PGSUS.IS, AKBNK.IS, SAHOL.IS, ARCLK.IS, EREGL.IS",ABOVE_MA200_RISK_ON,False,H_Disable_opportunity_filter,30,0.21914347716099636,0.22859654327465062,-0.009453066113654263,0.4666666666666667,-0.13614562039419909,0.0,2025-04,-0.051006805496163946,2025-03,0.0839589045526572
I_Disable_regime_filter,2024-02,2024-02-01,0.012960919702260622,0.03025653299424569,-0.017295613291985066,-0.01813510306492805,0.5,volume_heavy,10,5,"YKBNK.IS, GARAN.IS, PGSUS.IS, SAHOL.IS, ARCLK.IS",ABOVE_MA200_RISK_ON,True,I_Disable_regime_filter,30,0.11454267003893936,0.22859654327465062,-0.11405387323571126,0.36666666666666664,-0.11428273089953778,0.5,2026-01,-0.09908925787280704,2024-09,0.08659413821412065
Baseline,2024-03,2024-03-01,0.02385663739918933,0.0066283190438629624,0.01722831835532637,-0.03024357209633277,0.5,volume_heavy,10,5,"ASELS.IS, SAHOL.IS, PGSUS.IS, FROTO.IS, TOASO.IS",ABOVE_MA200_RISK_ON,True,Baseline,30,0.11174423381489351,0.22859654327465062,-0.11685230945975711,0.36666666666666664,-0.0961058298904891,0.4933333333333333,2025-06,-0.10965124642664374,2024-09,0.08659413821412065
A_No_cash_allocation,2024-03,2024-03-01,0.04771327479837866,0.0066283190438629624,0.0410849557545157,-0.059005985667421657,0.0,volume_heavy,10,5,"ASELS.IS, SAHOL.IS, PGSUS.IS, FROTO.IS, TOASO.IS",ABOVE_MA200_RISK_ON,True,A_No_cash_allocation,30,0.21341543337206503,0.22859654327465062,-0.015181109902585588,0.4,-0.15766963333904171,0.0,2025-06,-0.07763909403803826,2025-03,0.09668780694860593
B_Max_cash_25pct,2024-03,2024-03-01,0.03578495609878399,0.0066283190438629624,0.029156637054921025,-0.044803038896144454,0.25,volume_heavy,10,5,"ASELS.IS, SAHOL.IS, PGSUS.IS, FROTO.IS, TOASO.IS",ABOVE_MA200_RISK_ON,True,B_Max_cash_25pct,30,0.1624509374844858,0.22859654327465062,-0.06614560579016482,0.36666666666666664,-0.11942029988039005,0.25,2025-06,-0.09097749086662388,2025-03,0.08229781509050355
C_Max_cash_50pct,2024-03,2024-03-01,0.02385663739918933,0.0066283190438629624,0.01722831835532637,-0.03024357209633277,0.5,volume_heavy,10,5,"ASELS.IS, SAHOL.IS, PGSUS.IS, FROTO.IS, TOASO.IS",ABOVE_MA200_RISK_ON,True,C_Max_cash_50pct,30,0.11264334153498945,0.22859654327465062,-0.11595320173966117,0.36666666666666664,-0.0961058298904891,0.48333333333333334,2025-06,-0.1043158876952095,2024-09,0.08659413821412065
D_Always_Top5,2024-03,2024-03-01,-0.019573328803714894,0.0066283190438629624,-0.026201647847577857,-0.047557730163304335,0.4,volume_heavy,5,3,"ASELS.IS, ARCLK.IS, SAHOL.IS",ABOVE_MA200_RISK_ON,True,D_Always_Top5,30,0.08339085292685988,0.22859654327465062,-0.14520569034779074,0.3333333333333333,-0.10035405962123112,0.4200000000000001,2025-06,-0.10965124642664374,2025-01,0.09412463595970594
E_Always_Top10,2024-03,2024-03-01,0.02385663739918933,0.0066283190438629624,0.01722831835532637,-0.03024357209633277,0.5,volume_heavy,10,5,"ASELS.IS, SAHOL.IS, PGSUS.IS, FROTO.IS, TOASO.IS",ABOVE_MA200_RISK_ON,True,E_Always_Top10,30,0.08493449273173903,0.22859654327465062,-0.1436620505429116,0.36666666666666664,-0.09543436579584741,0.5033333333333333,2026-01,-0.09908925787280704,2024-09,0.08659413821412065
F_Out_of_sample_winner,2024-03,2024-03-01,0.060253924536800854,0.0066283190438629624,0.05362560549293789,-0.023395668296529948,0.4666666666666667,mixed_model,15,8,"ASELS.IS, SAHOL.IS, ARCLK.IS, FROTO.IS, YKBNK.IS, AKBNK.IS, KCHOL.IS, TOASO.IS",ABOVE_MA200_RISK_ON,True,F_Out_of_sample_winner,30,0.14871001102864856,0.22859654327465062,-0.07988653224600206,0.5333333333333333,-0.09663444377764097,0.4666666666666667,2026-01,-0.11195915796122803,2024-09,0.0642295829050277
G_Most_robust_model,2024-03,2024-03-01,0.060253924536800854,0.0066283190438629624,0.05362560549293789,-0.023395668296529948,0.4666666666666667,mixed_model,15,8,"ASELS.IS, SAHOL.IS, ARCLK.IS, FROTO.IS, YKBNK.IS, AKBNK.IS, KCHOL.IS, TOASO.IS",ABOVE_MA200_RISK_ON,True,G_Most_robust_model,30,0.14871001102864856,0.22859654327465062,-0.07988653224600206,0.5333333333333333,-0.09663444377764097,0.4666666666666667,2026-01,-0.11195915796122803,2024-09,0.0642295829050277
H_Disable_opportunity_filter,2024-03,2024-03-01,-0.01387290614728752,0.0066283190438629624,-0.020501225191150482,-0.05663452919738088,0.0,volume_heavy,10,10,"ASELS.IS, ARCLK.IS, EREGL.IS, SAHOL.IS, TUPRS.IS, PGSUS.IS, BIMAS.IS, PETKM.IS, FROTO.IS, TOASO.IS",ABOVE_MA200_RISK_ON,False,H_Disable_opportunity_filter,30,0.21914347716099636,0.22859654327465062,-0.009453066113654263,0.4666666666666667,-0.13614562039419909,0.0,2025-04,-0.051006805496163946,2025-03,0.0839589045526572
I_Disable_regime_filter,2024-03,2024-03-01,0.02385663739918933,0.0066283190438629624,0.01722831835532637,-0.03024357209633277,0.5,volume_heavy,10,5,"ASELS.IS, SAHOL.IS, PGSUS.IS, FROTO.IS, TOASO.IS",ABOVE_MA200_RISK_ON,True,I_Disable_regime_filter,30,0.11454267003893936,0.22859654327465062,-0.11405387323571126,0.36666666666666664,-0.11428273089953778,0.5,2026-01,-0.09908925787280704,2024-09,0.08659413821412065
Baseline,2024-04,2024-04-01,0.04596581666124915,0.11479125498681375,-0.06882543832556459,-0.013436590227201672,0.5,volume_heavy,10,5,"KCHOL.IS, FROTO.IS, THYAO.IS, YKBNK.IS, TOASO.IS",ABOVE_MA200_RISK_ON,True,Baseline,30,0.11174423381489351,0.22859654327465062,-0.11685230945975711,0.36666666666666664,-0.0961058298904891,0.4933333333333333,2025-06,-0.10965124642664374,2024-09,0.08659413821412065
A_No_cash_allocation,2024-04,2024-04-01,0.0919316333224983,0.11479125498681375,-0.022859621664315447,-0.02621886192475842,0.0,volume_heavy,10,5,"KCHOL.IS, FROTO.IS, THYAO.IS, YKBNK.IS, TOASO.IS",ABOVE_MA200_RISK_ON,True,A_No_cash_allocation,30,0.21341543337206503,0.22859654327465062,-0.015181109902585588,0.4,-0.15766963333904171,0.0,2025-06,-0.07763909403803826,2025-03,0.09668780694860593
B_Max_cash_25pct,2024-04,2024-04-01,0.06894872499187372,0.11479125498681375,-0.045842529994940026,-0.019906491902720425,0.25,volume_heavy,10,5,"KCHOL.IS, FROTO.IS, THYAO.IS, YKBNK.IS, TOASO.IS",ABOVE_MA200_RISK_ON,True,B_Max_cash_25pct,30,0.1624509374844858,0.22859654327465062,-0.06614560579016482,0.36666666666666664,-0.11942029988039005,0.25,2025-06,-0.09097749086662388,2025-03,0.08229781509050355
C_Max_cash_50pct,2024-04,2024-04-01,0.04596581666124915,0.11479125498681375,-0.06882543832556459,-0.013436590227201672,0.5,volume_heavy,10,5,"KCHOL.IS, FROTO.IS, THYAO.IS, YKBNK.IS, TOASO.IS",ABOVE_MA200_RISK_ON,True,C_Max_cash_50pct,30,0.11264334153498945,0.22859654327465062,-0.11595320173966117,0.36666666666666664,-0.0961058298904891,0.48333333333333334,2025-06,-0.1043158876952095,2024-09,0.08659413821412065
D_Always_Top5,2024-04,2024-04-01,0.053023805812278446,0.11479125498681375,-0.061767449174535305,-0.0249937530793497,0.4,volume_heavy,5,3,"KCHOL.IS, FROTO.IS, THYAO.IS",ABOVE_MA200_RISK_ON,True,D_Always_Top5,30,0.08339085292685988,0.22859654327465062,-0.14520569034779074,0.3333333333333333,-0.10035405962123112,0.4200000000000001,2025-06,-0.10965124642664374,2025-01,0.09412463595970594
E_Always_Top10,2024-04,2024-04-01,0.04596581666124915,0.11479125498681375,-0.06882543832556459,-0.013436590227201672,0.5,volume_heavy,10,5,"KCHOL.IS, FROTO.IS, THYAO.IS, YKBNK.IS, TOASO.IS",ABOVE_MA200_RISK_ON,True,E_Always_Top10,30,0.08493449273173903,0.22859654327465062,-0.1436620505429116,0.36666666666666664,-0.09543436579584741,0.5033333333333333,2026-01,-0.09908925787280704,2024-09,0.08659413821412065
F_Out_of_sample_winner,2024-04,2024-04-01,0.06368790666828321,0.11479125498681375,-0.05110334831853054,-0.01910822717925942,0.4666666666666667,mixed_model,15,8,"KCHOL.IS, FROTO.IS, THYAO.IS, TOASO.IS, TUPRS.IS, BIMAS.IS, SISE.IS, ARCLK.IS",ABOVE_MA200_RISK_ON,True,F_Out_of_sample_winner,30,0.14871001102864856,0.22859654327465062,-0.07988653224600206,0.5333333333333333,-0.09663444377764097,0.4666666666666667,2026-01,-0.11195915796122803,2024-09,0.0642295829050277
G_Most_robust_model,2024-04,2024-04-01,0.06368790666828321,0.11479125498681375,-0.05110334831853054,-0.01910822717925942,0.4666666666666667,mixed_model,15,8,"KCHOL.IS, FROTO.IS, THYAO.IS, TOASO.IS, TUPRS.IS, BIMAS.IS, SISE.IS, ARCLK.IS",ABOVE_MA200_RISK_ON,True,G_Most_robust_model,30,0.14871001102864856,0.22859654327465062,-0.07988653224600206,0.5333333333333333,-0.09663444377764097,0.4666666666666667,2026-01,-0.11195915796122803,2024-09,0.0642295829050277
