replay_month,requested_date,actual_trading_date,holding_days,portfolio_return,bist100_return,excess_return,max_drawdown,cash_weight,selected_model,active_portfolio_size,selected_stock_count,selected_stocks,regime_state,bist100_below_ma200,opportunity_threshold,confidence_score
2024-01,2024-01-01,2024-01-02,30,0.06719876147528679,0.13401884647733775,-0.06682008500205096,-0.013863906275845772,0.5,volume_heavy,10,5,"GARAN.IS, TCELL.IS, YKBNK.IS, ASELS.IS, FROTO.IS",ABOVE_MA200_RISK_ON,False,0.026338486724536203,79.51
2024-02,2024-02-01,2024-02-01,30,0.012960919702260622,0.03025653299424569,-0.017295613291985066,-0.01813510306492805,0.5,volume_heavy,10,5,"YKBNK.IS, GARAN.IS, PGSUS.IS, SAHOL.IS, ARCLK.IS",ABOVE_MA200_RISK_ON,False,0.05232779900294282,64.64
2024-03,2024-03-01,2024-03-01,30,0.02385663739918933,0.0066283190438629624,0.01722831835532637,-0.03024357209633277,0.5,volume_heavy,10,5,"ASELS.IS, SAHOL.IS, PGSUS.IS, FROTO.IS, TOASO.IS",ABOVE_MA200_RISK_ON,False,0.024856907394111394,73.96
2024-04,2024-04-01,2024-04-01,30,0.04596581666124915,0.11479125498681375,-0.06882543832556459,-0.013436590227201672,0.5,volume_heavy,10,5,"KCHOL.IS, FROTO.IS, THYAO.IS, YKBNK.IS, TOASO.IS",ABOVE_MA200_RISK_ON,False,0.03216437209690126,79.44
2024-05,2024-05-01,2024-05-02,30,0.02250800940870841,0.03409831624425297,-0.011590306835544559,-0.040422561061303375,0.5,volume_heavy,10,5,"KCHOL.IS, SAHOL.IS, YKBNK.IS, PGSUS.IS, TOASO.IS",ABOVE_MA200_RISK_ON,False,0.02794055568809317,73.16
2024-06,2024-06-01,2024-06-03,30,0.01797612941911869,0.011878606925778579,0.006097522493340113,-0.035117254722044744,0.5,volume_heavy,10,5,"AKBNK.IS, TOASO.IS, YKBNK.IS, GARAN.IS, TUPRS.IS",ABOVE_MA200_RISK_ON,False,0.044666341666757425,74.58
2024-07,2024-07-01,2024-07-01,30,-0.01303667401271922,0.02854982630855374,-0.04158650032127296,-0.04848786388396997,0.5,volume_heavy,10,5,"GARAN.IS, FROTO.IS, PGSUS.IS, TOASO.IS, AKBNK.IS",ABOVE_MA200_RISK_ON,False,0.0585854590914856,67.96
2024-08,2024-08-01,2024-08-01,30,-0.03807695588440516,-0.06370557813260957,0.025628622248204412,-0.06228849950447535,0.5,volume_heavy,10,5,"EREGL.IS, PETKM.IS, ASELS.IS, ARCLK.IS, AKBNK.IS",ABOVE_MA200_RISK_ON,False,0.04205944737429368,70.74
2024-09,2024-09-01,2024-09-02,30,-0.02193979321885542,-0.10853393143297607,0.08659413821412065,-0.044791419644591324,0.5,volume_heavy,10,5,"PGSUS.IS, GARAN.IS, FROTO.IS, SAHOL.IS, ASELS.IS",ABOVE_MA200_RISK_ON,False,0.06267911850057217,64.5
2024-10,2024-10-01,2024-10-01,30,-0.016289790263899186,-0.052110901294940115,0.03582111103104093,-0.02547330554334115,0.6,low_volatility,5,2,"PGSUS.IS, TCELL.IS",BELOW_MA200_DEFENSIVE,True,0.0,67.54
2024-11,2024-11-01,2024-11-01,30,0.02958349330885688,0.08960032938412388,-0.060016836075267,-0.04792865217370512,0.4,low_volatility,5,3,"EREGL.IS, FROTO.IS, THYAO.IS",BELOW_MA200_DEFENSIVE,True,0.0,78.97
2024-12,2024-12-01,2024-12-02,30,0.003853533472183625,0.028943067222292118,-0.025089533750108493,-0.023725844882863,0.6,low_volatility,5,2,"EREGL.IS, TCELL.IS",BELOW_MA200_DEFENSIVE,True,0.0,63.08
