symbol,loaded,reason
A1CAP.IS,True,
AEFES.IS,True,
AGHOL.IS,True,
AGROT.IS,True,
AHGAZ.IS,True,
AKBNK.IS,True,
AKCNS.IS,True,
AKFGY.IS,True,
AKFYE.IS,True,
AKSA.IS,True,
AKSEN.IS,True,
ALARK.IS,True,
ALFAS.IS,True,
ALTNY.IS,True,
ANHYT.IS,True,
ANSGR.IS,True,
ARCLK.IS,True,
ASELS.IS,True,
ASTOR.IS,True,
AVPGY.IS,True,
AYDEM.IS,True,
BERA.IS,True,
BFREN.IS,True,
BIMAS.IS,True,
BRSAN.IS,True,
BRYAT.IS,True,
BSOKE.IS,True,
BTCIM.IS,True,
CANTE.IS,True,
CCOLA.IS,True,
CIMSA.IS,True,
CWENE.IS,True,
DOAS.IS,True,
DOHOL.IS,True,
ECILC.IS,True,
EGEEN.IS,True,
EKGYO.IS,True,
ENERY.IS,True,
ENJSA.IS,True,
ENKAI.IS,True,
EREGL.IS,True,
EUPWR.IS,True,
FROTO.IS,True,
GARAN.IS,True,
GESAN.IS,True,
GOLTS.IS,True,
GUBRF.IS,True,
HALKB.IS,True,
HEKTS.IS,True,
IPEKE.IS,False,no valid OHLCV data returned
ISCTR.IS,True,
ISGYO.IS,True,
ISMEN.IS,True,
KARSN.IS,True,
KCAER.IS,True,
KCHOL.IS,True,
KLSER.IS,True,
KONTR.IS,True,
KONYA.IS,True,
KOZAA.IS,False,no valid OHLCV data returned
KOZAL.IS,False,no valid OHLCV data returned
KRDMD.IS,True,
KTLEV.IS,True,
LMKDC.IS,True,
MAVI.IS,True,
MGROS.IS,True,
MIATK.IS,True,
MPARK.IS,True,
ODAS.IS,True,
OTKAR.IS,True,
OYAKC.IS,True,
PASEU.IS,True,
PETKM.IS,True,
PGSUS.IS,True,
QUAGR.IS,True,
REEDR.IS,True,
SAHOL.IS,True,
SASA.IS,True,
SDTTR.IS,True,
SISE.IS,True,
SKBNK.IS,True,
SMRTG.IS,True,
SOKM.IS,True,
TABGD.IS,True,
TAVHL.IS,True,
TCELL.IS,True,
THYAO.IS,True,
TKFEN.IS,True,
TOASO.IS,True,
TSKB.IS,True,
TTKOM.IS,True,
TTRAK.IS,True,
TUPRS.IS,True,
TURSG.IS,True,
ULKER.IS,True,
VAKBN.IS,True,
VESTL.IS,True,
YEOTK.IS,True,
YKBNK.IS,True,
ZOREN.IS,True,
