threshold,period,months,avg_cash_weight,avg_qualified_count,selection_score,strategy_total_return,bist100_total_return,excess_return_over_benchmark,strategy_max_drawdown,bist100_max_drawdown,win_rate
baseline_full_invested,out_of_sample,32,0.0,3.0,0.06624715324117303,0.6240164348442983,0.5168674484157658,0.10714898642853243,-0.1767009165936797,-0.1675447420399082,0.625
baseline_full_invested,validation,24,0.0,3.0,2.210031459363771,5.372737844830261,3.2415637612067236,2.131174083623537,-0.116821312129883,-0.1617839465479347,0.625
0.02,out_of_sample,32,0.28125,2.15625,-0.13984352647672615,0.41175739496791763,0.5168674484157658,-0.10511005344784818,-0.15017923651443899,-0.1675447420399082,0.53125
0.02,train,43,0.5348837209302327,1.3953488372093024,-1.0247209117079639,0.33996757469305994,1.075422626952499,-0.735455052259439,-0.2492840925149601,-0.24757740982109966,0.4186046511627907
0.02,validation,24,0.48611111111111116,1.5416666666666667,-2.284184353377419,0.8614413782225123,3.2415637612067236,-2.3801223829842115,-0.07703098519660379,-0.1617839465479347,0.5
0.05,out_of_sample,32,0.7291666666666667,0.8125,-0.30156797194653495,0.17128409967554248,0.5168674484157658,-0.34558334874022334,-0.0639298116031558,-0.1675447420399082,0.34375
0.05,train,43,0.8837209302325582,0.3488372093023256,-1.2372570043113238,-0.012323492891160748,1.075422626952499,-1.0877461198436595,-0.11545311665243674,-0.24757740982109966,0.16279069767441862
0.05,validation,24,0.8194444444444445,0.5416666666666666,-2.9739288836225355,0.22805512612228074,3.2415637612067236,-3.0135086350844427,-0.03229345760237978,-0.1617839465479347,0.20833333333333334
0.08,out_of_sample,32,0.875,0.375,-0.769819899538205,-0.09994248370747971,0.5168674484157658,-0.6168099321232455,-0.09994248370747971,-0.1675447420399082,0.09375
0.08,train,43,0.9767441860465116,0.06976744186046512,-1.1624720531572434,-0.028785955522653506,1.075422626952499,-1.1042085824751524,-0.040759642317789724,-0.24757740982109966,0.046511627906976744
0.08,validation,24,0.888888888888889,0.3333333333333333,-3.0143795565770626,0.2165483274352562,3.2415637612067236,-3.0250154337714674,-0.02593206140279747,-0.1617839465479347,0.125
0.1,out_of_sample,32,0.96875,0.09375,-0.5643642768146646,-0.018455140690308847,0.5168674484157658,-0.5353225891060747,-0.022333343854294974,-0.1675447420399082,0.03125
0.1,train,43,0.9922480620155039,0.023255813953488372,-1.0539980145936627,0.009796705382091986,1.075422626952499,-1.065625921570407,0.0,-0.24757740982109966,0.023255813953488372
0.1,validation,24,0.9444444444444445,0.16666666666666666,-3.066124240912351,0.12350405809491982,3.2415637612067236,-3.118059703111804,-0.005282268900273501,-0.1617839465479347,0.125
0.12,out_of_sample,32,0.9791666666666667,0.0625,-0.5170106547730366,0.003966794959823217,0.5168674484157658,-0.5129006534559426,-0.009867500658547024,-0.1675447420399082,0.03125
0.12,train,43,0.9922480620155039,0.023255813953488372,-1.0539980145936627,0.009796705382091986,1.075422626952499,-1.065625921570407,0.0,-0.24757740982109966,0.023255813953488372
0.12,validation,24,0.9722222222222223,0.08333333333333333,-3.0752566809366155,0.1246404136034418,3.2415637612067236,-3.116923347603282,0.0,-0.1617839465479347,0.08333333333333333
