policy_id,policy_name,frequency,portfolio_size,score_mode,start_date,end_date,selected_symbols,selected_sectors,gross_return,net_return,benchmark_return,excess_return,transaction_cost_impact,turnover,trades,equity,gross_equity,benchmark_equity,cumulative_return,cumulative_benchmark_return,cumulative_excess_return
A,Current fixed follow-up state,monthly,3,fixed_state,2026-06-01,2026-06-24,"EREGL.IS, SISE.IS, BIMAS.IS","Steel, Glass/Industrial, Retail",-0.0009612897506256676,-0.0029612897506256677,0.04576767332986709,-0.04872896308049275,0.002,1.0,3,0.9970387102493743,0.9990387102493743,1.045767673329867,-0.0029612897506257063,0.04576767332986709,-0.04872896308049279
B,Weekly rebalance Top3,weekly,3,base,2026-06-01,2026-06-08,"EREGL.IS, SISE.IS, BIMAS.IS","Steel, Glass/Industrial, Retail",-0.0018746640511867103,-0.00387466405118671,0.01142729198591641,-0.015301956037103121,0.002,1.0,3,0.9961253359488133,0.9981253359488133,1.0114272919859164,-0.003874664051186749,0.01142729198591641,-0.01530195603710316
B,Weekly rebalance Top3,weekly,3,base,2026-06-08,2026-06-15,"BIMAS.IS, EREGL.IS, SISE.IS","Retail, Steel, Glass/Industrial",0.03509807716790229,0.03509807716790229,0.04226374022475743,-0.007165663056855141,0.0,0.0,0,1.0310874198588473,1.0331576160131832,1.054173992310639,0.03108741985884733,0.05417399231063902,-0.023086572451791687
B,Weekly rebalance Top3,weekly,3,base,2026-06-15,2026-06-22,"BIMAS.IS, YKBNK.IS, AKBNK.IS","Retail, Banks, Banks",0.039627423826404495,0.03696075715973783,0.0196104079235786,0.017350349236159232,0.0026666666666666666,1.3333333333333333,4,1.069197191594711,1.0740989907424152,1.074846774322278,0.06919719159471094,0.07484677432227804,-0.005649582727567104
B,Weekly rebalance Top3,weekly,3,base,2026-06-22,2026-06-24,"AKBNK.IS, YKBNK.IS, BIMAS.IS","Banks, Banks, Retail",-0.01718164940171833,-0.01718164940171833,-0.02705418268640769,0.009872533284689362,0.0,0.0,0,1.0508266203074288,1.0556441984607396,1.045767673329867,0.050826620307428794,0.04576767332986709,0.005058946977561707
C,Weekly rebalance Top5,weekly,5,base,2026-06-01,2026-06-08,"EREGL.IS, SISE.IS, BIMAS.IS, TOASO.IS, TCELL.IS","Steel, Glass/Industrial, Retail, Autos, Telecom",0.004853554425108442,0.002853554425108442,0.01142729198591641,-0.008573737560807967,0.002,1.0,5,1.0028535544251085,1.0048535544251085,1.0114272919859164,0.0028535544251084843,0.01142729198591641,-0.008573737560807926
C,Weekly rebalance Top5,weekly,5,base,2026-06-08,2026-06-15,"BIMAS.IS, EREGL.IS, SISE.IS, TCELL.IS, TOASO.IS","Retail, Steel, Glass/Industrial, Telecom, Autos",0.05169199321590749,0.05169199321590749,0.04226374022475743,0.009428252991150063,0.0,0.0,0,1.0546930535569998,1.0567964375434318,1.054173992310639,0.05469305355699983,0.05417399231063902,0.000519061246360808
C,Weekly rebalance Top5,weekly,5,base,2026-06-15,2026-06-22,"BIMAS.IS, YKBNK.IS, AKBNK.IS, THYAO.IS, SAHOL.IS","Retail, Banks, Banks, Airlines, Holdings",0.023755377953665512,0.02055537795366551,0.0196104079235786,0.000944970030086912,0.0032,1.6,8,1.0763726678979697,1.0819010363373631,1.074846774322278,0.0763726678979697,0.07484677432227804,0.0015258935756916614
C,Weekly rebalance Top5,weekly,5,base,2026-06-22,2026-06-24,"AKBNK.IS, YKBNK.IS, BIMAS.IS, ASELS.IS, TOASO.IS","Banks, Banks, Retail, Defense/Technology, Autos",-0.01853870778129798,-0.02013870778129798,-0.02705418268640769,0.006915474905109711,0.0016,0.8,4,1.0546959132753964,1.0618439891764213,1.045767673329867,0.05469591327539636,0.04576767332986709,0.00892823994552927
D,Relative Strength Top3,weekly,3,relative_strength,2026-06-01,2026-06-08,"EREGL.IS, SISE.IS, TOASO.IS","Steel, Glass/Industrial, Autos",-0.012892491778164095,-0.014892491778164095,0.01142729198591641,-0.026319783764080507,0.002,1.0,3,0.9851075082218359,0.9871075082218359,1.0114272919859164,-0.014892491778164096,0.01142729198591641,-0.026319783764080507
D,Relative Strength Top3,weekly,3,relative_strength,2026-06-08,2026-06-15,"BIMAS.IS, EREGL.IS, GARAN.IS","Retail, Steel, Banks",0.055042792746452,0.05237612607978533,0.04226374022475743,0.010112385855027904,0.0026666666666666666,1.3333333333333333,4,1.0367036232746059,1.0414406622153571,1.054173992310639,0.03670362327460586,0.05417399231063902,-0.017470369036033162
D,Relative Strength Top3,weekly,3,relative_strength,2026-06-15,2026-06-22,"YKBNK.IS, AKBNK.IS, SAHOL.IS","Banks, Banks, Holdings",0.05163589742638249,0.047635897426382495,0.0196104079235786,0.028025489502803896,0.004,2.0,6,1.086087930734474,1.095216385425173,1.074846774322278,0.08608793073447396,0.07484677432227804,0.011241156412195918
D,Relative Strength Top3,weekly,3,relative_strength,2026-06-22,2026-06-24,"YKBNK.IS, AKBNK.IS, TOASO.IS","Banks, Banks, Autos",-0.0034899648234544647,-0.004823298156787798,-0.02705418268640769,0.022230884529619892,0.0013333333333333333,0.6666666666666666,2,1.0808494048200528,1.0913941187659684,1.045767673329867,0.08084940482005276,0.04576767332986709,0.035081731490185675
E,Benchmark-aware Top3,weekly,3,benchmark_aware,2026-06-01,2026-06-08,"EREGL.IS, SISE.IS, TOASO.IS","Steel, Glass/Industrial, Autos",-0.012892491778164095,-0.014892491778164095,0.01142729198591641,-0.026319783764080507,0.002,1.0,3,0.9851075082218359,0.9871075082218359,1.0114272919859164,-0.014892491778164096,0.01142729198591641,-0.026319783764080507
E,Benchmark-aware Top3,weekly,3,benchmark_aware,2026-06-08,2026-06-15,"BIMAS.IS, EREGL.IS, GARAN.IS","Retail, Steel, Banks",0.055042792746452,0.05237612607978533,0.04226374022475743,0.010112385855027904,0.0026666666666666666,1.3333333333333333,4,1.0367036232746059,1.0414406622153571,1.054173992310639,0.03670362327460586,0.05417399231063902,-0.017470369036033162
E,Benchmark-aware Top3,weekly,3,benchmark_aware,2026-06-15,2026-06-22,"YKBNK.IS, AKBNK.IS, SAHOL.IS","Banks, Banks, Holdings",0.05163589742638249,0.047635897426382495,0.0196104079235786,0.028025489502803896,0.004,2.0,6,1.086087930734474,1.095216385425173,1.074846774322278,0.08608793073447396,0.07484677432227804,0.011241156412195918
E,Benchmark-aware Top3,weekly,3,benchmark_aware,2026-06-22,2026-06-24,"YKBNK.IS, AKBNK.IS, TOASO.IS","Banks, Banks, Autos",-0.0034899648234544647,-0.004823298156787798,-0.02705418268640769,0.022230884529619892,0.0013333333333333333,0.6666666666666666,2,1.0808494048200528,1.0913941187659684,1.045767673329867,0.08084940482005276,0.04576767332986709,0.035081731490185675
F,Leadership Rotation Overlay,weekly,3,leadership_overlay,2026-06-01,2026-06-08,"EREGL.IS, SISE.IS, BIMAS.IS","Steel, Glass/Industrial, Retail",-0.0018746640511867103,-0.00387466405118671,0.01142729198591641,-0.015301956037103121,0.002,1.0,3,0.9961253359488133,0.9981253359488133,1.0114272919859164,-0.003874664051186749,0.01142729198591641,-0.01530195603710316
F,Leadership Rotation Overlay,weekly,3,leadership_overlay,2026-06-08,2026-06-15,"BIMAS.IS, EREGL.IS, GARAN.IS","Retail, Steel, Banks",0.055042792746452,0.053709459413118665,0.04226374022475743,0.011445719188361236,0.0013333333333333333,0.6666666666666666,2,1.0496266892503352,1.0530649419504265,1.054173992310639,0.0496266892503352,0.05417399231063902,-0.00454730306030382
F,Leadership Rotation Overlay,weekly,3,leadership_overlay,2026-06-15,2026-06-22,"YKBNK.IS, AKBNK.IS, SAHOL.IS","Banks, Banks, Holdings",0.05163589742638249,0.047635897426382495,0.0196104079235786,0.028025489502803896,0.004,2.0,6,1.0996265985554576,1.1074408952762982,1.074846774322278,0.09962659855545763,0.07484677432227804,0.024779824233179593
F,Leadership Rotation Overlay,weekly,3,leadership_overlay,2026-06-22,2026-06-24,"YKBNK.IS, AKBNK.IS, GARAN.IS","Banks, Banks, Banks",-0.020438955729076058,-0.02177228906240939,-0.02705418268640769,0.0052818936239983,0.0013333333333333333,0.6666666666666666,2,1.0756852103909942,1.0848059598451776,1.045767673329867,0.07568521039099418,0.04576767332986709,0.029917537061127097
