date,portfolio_value,cash,active_position_value,realized_pnl,unrealized_pnl,total_return,benchmark_value,benchmark_return,active_positions
2026-06-01,2270000.0,2100000.0,170000.0,0.0,-3.637978807091713e-12,21.7,100000.0,0.0,9
2026-06-22,2311235.1937253773,33623.31081081081,2277611.8829145664,3623.3108108108136,3988.572103755623,22.112351937253774,107484.67743222782,0.0748467743222782,11
2026-06-24,2269390.190761669,0.0,2269390.190761669,3623.3108108108136,-37856.43085995254,21.69390190761669,104576.76733298672,0.045767673329867,12
2026-06-25,2219947.3767110603,9624.999853280877,2210322.3768577795,3248.3106640916885,-86924.24476384209,21.199473767110604,104055.74872072024,0.0405574872072023,11
2026-06-26,2256106.809120123,9624.999853280877,2246481.809266842,3248.3106640916885,-50764.812354779686,21.56106809120123,104159.36952714536,0.0415936952714535,11
2026-06-29,2228490.98662882,9624.999853280877,2218865.9867755384,3248.3106640916885,-78380.63484608314,21.284909866288192,103496.7906838332,0.0349679068383319,11
2026-06-30,2214532.25016672,9624.999853280877,2204907.250313439,3248.3106640916885,-92339.37130818269,21.1453225016672,103048.74346677976,0.0304874346677976,11
2026-07-01,2228122.581627613,39698.63562248117,2188423.946005132,-301.3643775188357,-75199.36480567924,21.28122581627613,104718.3275640324,0.047183275640324,10
2026-07-02,2229243.858205974,0.0,2229243.858205974,-1353.8817386299488,-73025.57086620649,21.29243858205974,105480.15178050206,0.0548015178050205,11
2026-07-03,4267316.540047753,2113439.227497596,2153877.3125501573,-50963.94893015832,-98782.04933049512,41.67316540047753,105209.43075470666,0.0520943075470665,9
2026-07-06,4287748.934738215,0.0,4287748.934738215,-154465.4616624371,25151.85809224576,41.87748934738215,105257.58902510216,0.0525758902510216,9
2026-07-07,4273715.312093651,-1.8189894035458565e-12,4273715.312093651,-154723.67727593987,11376.451061184844,41.73715312093651,105789.55334665062,0.0578955334665061,9
2026-07-08,4246948.309279991,0.0,4246948.309279991,-155081.22079302298,-15033.008235391992,41.46948309279991,103546.40980735552,0.0354640980735552,9
2026-07-09,4205495.547493511,100126.18005073797,4105369.3674427727,-154587.86686323368,-123729.91065215386,41.05495547493511,102929.07465429802,0.0292907465429801,8
2026-07-10,4287864.596497652,0.0,4287864.596497652,-154733.350172522,-41215.37833872381,41.87864596497652,104503.79593777364,0.0450379593777363,8
2026-07-13,4275944.763689951,-1.1641532182693479e-10,4275944.763689951,-145286.15490289344,-62582.40641605335,41.75944763689951,102831.29013426736,0.0283129013426737,7
2026-07-14,4326068.556965909,-1.1641532182693479e-10,4326068.556965909,-145286.15490289344,-12458.613140096131,42.26068556965909,102743.72446001168,0.0274372446001167,7
2026-07-16,4429896.600449844,0.0,4429896.600449844,39913.09980640204,-93829.82436545606,43.298966004498446,103993.72303478912,0.039937230347891095,7
