symbol,entry_date,entry_price,quantity,entry_value,exit_date,exit_price,exit_value,realized_pnl,return_pct,holding_days,status,reason
PGSUS.IS,2026-06-01,168.39999389648438,59.38242495511614,10000.0,,,,0.0,0.0,0,OPEN,INITIAL_RECOMMENDED
YKBNK.IS,2026-06-01,33.41999816894531,299.2220391350065,10000.0,2026-06-01,33.41999816894531,10000.0,0.0,0.0,0,CLOSED,INITIAL_RECOMMENDED
AKBNK.IS,2026-06-01,63.70000076293945,156.98586939135458,10000.0,2026-06-01,63.70000076293945,10000.0,0.0,0.0,0,CLOSED,INITIAL_RECOMMENDED
SAHOL.IS,2026-06-01,89.0,112.35955056179776,10000.0,2026-06-01,89.0,10000.0,0.0,0.0,0,CLOSED,INITIAL_RECOMMENDED
TUPRS.IS,2026-06-01,244.8999938964844,40.832994076050696,10000.0,2026-07-03,248.1999969482422,10134.749005063371,134.74900506337326,0.0134749005063374,32,CLOSED,INITIAL_RECOMMENDED
GARAN.IS,2026-06-01,123.0999984741211,81.2347694878507,10000.0,,,,0.0,0.0,0,OPEN,INITIAL_RECOMMENDED
THYAO.IS,2026-06-01,291.5,34.305317324185246,10000.0,2026-06-01,291.5,10000.0,0.0,0.0,0,CLOSED,INITIAL_RECOMMENDED
KCHOL.IS,2026-06-01,186.0,53.763440860215056,10000.0,2026-06-01,186.0,10000.0,0.0,0.0,0,CLOSED,INITIAL_RECOMMENDED
ARCLK.IS,2026-06-01,104.0,96.15384615384616,10000.0,2026-06-25,100.0999984741211,9624.999853280877,-375.000146719125,-0.0375000146719125,24,CLOSED,INITIAL_RECOMMENDED
FROTO.IS,2026-06-01,85.19999694824219,117.37089622285856,10000.0,,,,0.0,0.0,0,OPEN,INITIAL_RECOMMENDED
PETKM.IS,2026-06-01,23.059999465942383,867.3027087246148,20000.0,2026-06-01,23.059999465942383,20000.0,0.0,0.0,0,CLOSED,BUY_SIGNAL
SISE.IS,2026-06-01,45.5,659.3406593406594,30000.000000000004,,,,0.0,0.0,0,OPEN,BUY_SIGNAL
BIMAS.IS,2026-06-01,371.25,80.8080808080808,30000.0,2026-07-02,357.5,28888.888888888887,-1111.1111111111131,-0.037037037037037,31,CLOSED,BUY_SIGNAL
TOASO.IS,2026-06-01,296.0,101.35135135135135,30000.0,2026-06-22,331.75,33623.31081081081,3623.3108108108136,0.1207770270270269,21,CLOSED,BUY_SIGNAL
ASELS.IS,2026-06-01,384.0,78.125,30000.0,2026-07-02,384.75,30058.59375,58.59375,0.001953125,31,CLOSED,BUY_SIGNAL
YKBNK.IS,2026-06-22,43.84000015258789,16222.804922328163,711207.7702702703,,,,0.0,0.0,0,OPEN,BUY_SIGNAL
SAHOL.IS,2026-06-22,101.5,7006.973106111037,711207.7702702703,2026-07-03,94.5,662158.9585274929,-49048.81174277736,-0.0689655172413793,11,CLOSED,BUY_SIGNAL
EREGL.IS,2026-06-22,40.34000015258789,17630.336330691483,711207.7702702703,,,,0.0,0.0,0,OPEN,BUY_SIGNAL
TOASO.IS,2026-06-24,341.0,98.60208448918128,33623.31081081081,2026-07-01,305.0,30073.63576920029,-3549.675041610524,-0.1055718475073314,7,CLOSED,BUY_SIGNAL
THYAO.IS,2026-07-02,333.25,98.67078595785952,32882.039420456684,,,,0.0,0.0,0,OPEN,BUY_SIGNAL
TOASO.IS,2026-07-02,306.25,107.36992463822592,32882.039420456684,,,,0.0,0.0,0,OPEN,BUY_SIGNAL
KCHOL.IS,2026-07-02,193.6999969482422,169.75756292470652,32882.039420456684,2026-07-03,189.6000061035156,32186.03496664229,-696.0044538143884,-0.0211667057786382,1,CLOSED,BUY_SIGNAL
ASELS.IS,2026-07-03,399.5,1763.403610761448,704479.7424991985,,,,0.0,0.0,0,OPEN,BUY_SIGNAL
