policy,base_model,base_portfolio_size,period,months,bear_months,avg_exposure,total_return,bist100_total_return,excess_return_vs_bist100,max_drawdown,bist100_max_drawdown,win_rate,robustness_score
baseline,low_volatility,3,out_of_sample,32,7,1.0,0.4909518247079703,0.590013878393095,-0.09906205368512477,-0.2460334247338598,-0.1675447420399082,0.53125,-0.3255039031528444
baseline,low_volatility,3,train,39,12,1.0,1.6392278669295068,1.2208251837732145,0.41840268315629237,-0.16647997794292102,-0.24757740982109977,0.6410256410256411,0.40595554778327086
baseline,low_volatility,3,validation,24,0,1.0,4.153851646311168,3.2415637612067236,0.912287885104444,-0.10623607070751806,-0.1617839465479347,0.6666666666666666,1.0331490770227412
baseline,low_volatility,5,out_of_sample,32,7,1.0,0.30894235089836375,0.590013878393095,-0.2810715274947313,-0.22486786738649245,-0.1675447420399082,0.5,-0.4808072622677162
baseline,low_volatility,5,train,39,12,1.0,1.4654932817831594,1.2208251837732145,0.24466809800994493,-0.22339339040123718,-0.24757740982109977,0.5897435897435898,0.09275311207926545
baseline,low_volatility,5,validation,24,0,1.0,4.3503160434110555,3.2415637612067236,1.1087522822043319,-0.11155258237681942,-0.1617839465479347,0.7083333333333334,1.2398137841173598
baseline,low_volatility,10,out_of_sample,32,7,1.0,0.28207532052007056,0.590013878393095,-0.3079385578730245,-0.17924840492909644,-0.1675447420399082,0.5,-0.41643536773121737
baseline,low_volatility,10,train,39,12,1.0,1.8340651279577571,1.2208251837732145,0.6132399441845426,-0.22565620551200305,-0.24757740982109977,0.5897435897435898,0.4567993280323314
baseline,low_volatility,10,validation,24,0,1.0,3.842829867273597,3.2415637612067236,0.6012661060668734,-0.10463179006203294,-0.1617839465479347,0.6666666666666666,0.7253358592761407
baseline,low_volatility,15,out_of_sample,32,7,1.0,0.5337195013241132,0.590013878393095,-0.05629437706898188,-0.15633051919985974,-0.1675447420399082,0.5625,-0.08770541546870136
baseline,low_volatility,15,train,39,12,1.0,1.8049233939741787,1.2208251837732145,0.5840982102009642,-0.24569923103666413,-0.24757740982109977,0.6410256410256411,0.41321256864045647
baseline,low_volatility,15,validation,24,0,1.0,3.5934105015083277,3.2415637612067236,0.3518467403016041,-0.10263767867865359,-0.1617839465479347,0.6666666666666666,0.47990471627763026
baseline,mixed_model,3,out_of_sample,32,7,1.0,0.40993724515076346,0.590013878393095,-0.18007663324233159,-0.1873520846895822,-0.1675447420399082,0.5625,-0.273530802621496
baseline,mixed_model,3,train,39,12,1.0,0.9268578244124837,1.2208251837732145,-0.2939673593607308,-0.3455281798074362,-0.24757740982109977,0.6153846153846154,-0.6773314112832955
baseline,mixed_model,3,validation,24,0,1.0,4.533457298360859,3.2415637612067236,1.2918935371541354,-0.1168213568437314,-0.1617839465479347,0.6666666666666666,1.3915841568000058
baseline,mixed_model,5,out_of_sample,32,7,1.0,0.32560489575289076,0.590013878393095,-0.2644089826402043,-0.19440535246968693,-0.1675447420399082,0.5,-0.40321968757957816
baseline,mixed_model,5,train,39,12,1.0,2.3622219335369965,1.2208251837732145,1.141396749763782,-0.2451963495254288,-0.24757740982109977,0.6666666666666666,0.9843373840462577
baseline,mixed_model,5,validation,24,0,1.0,4.79545106599657,3.2415637612067236,1.5538873047898463,-0.10584547903144381,-0.1617839465479347,0.625,1.6546963467269586
baseline,mixed_model,10,out_of_sample,32,7,1.0,0.40072678381945304,0.590013878393095,-0.189287094573642,-0.19710044938093751,-0.1675447420399082,0.5,-0.33348799333551704
baseline,mixed_model,10,train,39,12,1.0,1.9955229585119247,1.2208251837732145,0.7746977747387103,-0.24564799996354847,-0.24757740982109977,0.6410256410256411,0.6039145953244338
baseline,mixed_model,10,validation,24,0,1.0,3.856381374157082,3.2415637612067236,0.6148176129503584,-0.12319348059069124,-0.1617839465479347,0.6666666666666666,0.7017639851023092
baseline,mixed_model,15,out_of_sample,32,7,1.0,0.5733902420381025,0.590013878393095,-0.016623636354992533,-0.16444763809729157,-0.1675447420399082,0.59375,-0.048643912549575674
baseline,mixed_model,15,train,39,12,1.0,1.7363286412643655,1.2208251837732145,0.515503457491151,-0.2563730737256851,-0.24757740982109977,0.6410256410256411,0.3232701305526014
baseline,mixed_model,15,validation,24,0,1.0,3.5334037285010282,3.2415637612067236,0.2918399672943046,-0.10614260540352516,-0.1617839465479347,0.6666666666666666,0.4128880898205876
baseline,momentum_heavy,3,out_of_sample,32,7,1.0,0.6854091863039287,0.590013878393095,0.09539530791083362,-0.16603701972215779,-0.1675447420399082,0.59375,0.060196268466518044
baseline,momentum_heavy,3,train,39,12,1.0,1.1071562743854417,1.2208251837732145,-0.11366890938777274,-0.33801551575703104,-0.24757740982109977,0.6410256410256411,-0.4691871203890143
baseline,momentum_heavy,3,validation,24,0,1.0,4.780797346687794,3.2415637612067236,1.5392335854810701,-0.1168213568437313,-0.1617839465479347,0.625,1.6180908717936076
baseline,momentum_heavy,5,out_of_sample,32,7,1.0,0.318219298236337,0.590013878393095,-0.27179458015675806,-0.20136001845295914,-0.1675447420399082,0.53125,-0.40888961706267635
baseline,momentum_heavy,5,train,39,12,1.0,1.9733214384472602,1.2208251837732145,0.7524962546740457,-0.24519634952542868,-0.24757740982109977,0.6410256410256411,0.5826163761360088
baseline,momentum_heavy,5,validation,24,0,1.0,3.95780178965662,3.2415637612067236,0.7162380284498964,-0.15423267857670753,-0.1617839465479347,0.625,0.7202726712964813
baseline,momentum_heavy,10,out_of_sample,32,7,1.0,0.3717124262350726,0.590013878393095,-0.21830145215802244,-0.20664794155851918,-0.1675447420399082,0.5,-0.3815973352750608
baseline,momentum_heavy,10,train,39,12,1.0,1.8805942749171733,1.2208251837732145,0.6597690911439589,-0.24042824035845511,-0.24757740982109977,0.6410256410256411,0.4994254309398692
baseline,momentum_heavy,10,validation,24,0,1.0,3.9004499075679337,3.2415637612067236,0.6588861463612101,-0.13397485082038418,-0.1617839465479347,0.6666666666666666,0.724269778053775
baseline,momentum_heavy,15,out_of_sample,32,7,1.0,0.5743792569326922,0.590013878393095,-0.015634621460402842,-0.1679970105873666,-0.1675447420399082,0.59375,-0.054753642635136046
baseline,momentum_heavy,15,train,39,12,1.0,1.7903767776281794,1.2208251837732145,0.5695515938549649,-0.2563730737256851,-0.24757740982109977,0.6410256410256411,0.3773182669164153
baseline,momentum_heavy,15,validation,24,0,1.0,3.7114035864474104,3.2415637612067236,0.4698398252406868,-0.10614260540352516,-0.1617839465479347,0.6666666666666666,0.5908879477669697
baseline,trend_following,3,out_of_sample,32,7,1.0,0.5402982036606401,0.590013878393095,-0.04971567473245497,-0.1767009024747872,-0.1675447420399082,0.59375,-0.10624247968202938
