model,period,portfolio_size,transaction_cost,strategy,months,strategy_total_return,bist100_total_return,excess_return_over_benchmark,avg_monthly_return,strategy_max_drawdown,bist100_max_drawdown,win_rate,selection_score,best_month,best_month_return,worst_month,worst_month_return
low_volatility,out_of_sample,3,0.002,top_3,31,0.4592854222112417,0.7017284489818203,-0.2424430267705786,0.015332878576685029,-0.24603337291147565,-0.1675447420399082,0.5161290322580645,-0.47644525646449765,2025-12-31,0.22563421582652698,2024-07-31,-0.11630055530361331
low_volatility,out_of_sample,5,0.002,top_5,31,0.3339231608423503,0.7017284489818203,-0.36780528813947,0.01181678540062946,-0.224867835538463,-0.1675447420399082,0.5161290322580645,-0.5594764430873638,2025-12-31,0.21777324295211598,2025-03-31,-0.12962915898964994
low_volatility,out_of_sample,10,0.002,top_10,31,0.36001545972137894,0.7017284489818203,-0.34171298926044136,0.012132647010499133,-0.17924833948482066,-0.1675447420399082,0.5161290322580645,-0.44214515210105043,2025-12-31,0.22086933986234017,2025-03-31,-0.08908812806674697
low_volatility,out_of_sample,15,0.002,top_15,31,0.6011603634737268,0.7017284489818203,-0.10056808550809349,0.01744710178625562,-0.1563304887665854,-0.1675447420399082,0.5806451612903226,-0.12290648239610297,2025-12-31,0.21831432084035007,2024-09-30,-0.09244943911927009
low_volatility,train,3,0.002,top_3,43,1.9217737057995752,1.075422626952499,0.8463510788470763,0.027990144330726618,-0.1664799405950802,-0.24757740982109966,0.6511627906976745,0.8389725930057531,2021-10-31,0.23066070971114971,2019-02-28,-0.12605177019243832
low_volatility,train,5,0.002,top_5,43,1.5795166522164914,1.075422626952499,0.5040940252639925,0.025114997150394412,-0.2233934220007917,-0.24757740982109966,0.6046511627906976,0.3596327626577579,2021-10-31,0.2348088199810335,2020-02-29,-0.14370509970555032
low_volatility,train,10,0.002,top_10,43,1.6584557474821406,1.075422626952499,0.5830331205296417,0.02593825050973771,-0.2256562612655566,-0.24757740982109966,0.5813953488372093,0.4224182724171332,2021-10-31,0.24295431334821166,2020-02-29,-0.16791458026341163
low_volatility,train,15,0.002,top_15,43,1.6938860633504094,1.075422626952499,0.6184634363979105,0.026386748447002308,-0.24569924303225643,-0.24757740982109966,0.627906976744186,0.4410184387054906,2021-10-31,0.2159974453267784,2020-02-29,-0.1682905820673756
low_volatility,validation,3,0.002,top_3,24,4.153852757325347,3.2415637612067236,0.9122889961186234,0.07679195461971523,-0.10623623208015998,-0.1617839465479347,0.6666666666666666,1.0331498652916367,2023-05-31,0.3378188381838447,2022-12-31,-0.0834891281917245
low_volatility,validation,5,0.002,top_5,24,4.350317281989018,3.2415637612067236,1.1087535207822947,0.07796227009153664,-0.11155261255018567,-0.1617839465479347,0.7083333333333334,1.2398149623485901,2023-05-31,0.2821248741514174,2023-09-30,-0.08649469564847004
low_volatility,validation,10,0.002,top_10,24,3.8428301816125936,3.2415637612067236,0.60126642040587,0.07345312010436832,-0.10463175017617743,-0.1617839465479347,0.6666666666666666,0.7253362533868484,2022-07-31,0.25918276601770407,2023-09-30,-0.10463175017617739
low_volatility,validation,15,0.002,top_15,24,3.593410437522646,3.2415637612067236,0.3518466763159225,0.07113842830530341,-0.10263764436969347,-0.1617839465479347,0.6666666666666666,0.47990472090986885,2022-07-31,0.2976741120705963,2023-09-30,-0.10263764436969343
mixed_model,out_of_sample,3,0.002,top_3,31,0.37122808694057885,0.7017284489818203,-0.33050036204124145,0.013148581783023989,-0.1873520696543699,-0.1675447420399082,0.5806451612903226,-0.41488192070481994,2025-12-31,0.2385056375071013,2026-02-28,-0.13060109111342613
mixed_model,out_of_sample,5,0.002,top_5,31,0.33797999284009994,0.7017284489818203,-0.36374845614172036,0.012197018838173411,-0.19440537406140035,-0.1675447420399082,0.5161290322580645,-0.4944946881354888,2025-12-31,0.2354717394308512,2024-09-30,-0.12050022655652584
mixed_model,out_of_sample,10,0.002,top_10,31,0.4705631130002499,0.7017284489818203,-0.2311653359815704,0.01513822128484783,-0.19710041970765046,-0.1675447420399082,0.5161290322580645,-0.3673016592678391,2025-12-31,0.24068889351107292,2024-09-30,-0.10239519790952886
mixed_model,out_of_sample,15,0.002,top_15,31,0.6229268284275731,0.7017284489818203,-0.07880162055424722,0.017931683998314865,-0.16444759896086314,-0.1675447420399082,0.6129032258064516,-0.10124520557274769,2025-12-31,0.22193609774934833,2024-09-30,-0.09244943911927007
mixed_model,train,3,0.002,top_3,43,1.051666046553779,1.075422626952499,-0.023756580398719862,0.020612385678182826,-0.3455281709685968,-0.24757740982109966,0.627906976744186,-0.4008594339638204,2021-10-31,0.23540868306964624,2020-02-29,-0.24928421672750553
mixed_model,train,5,0.002,top_5,43,2.284525425537869,1.075422626952499,1.20910279858537,0.031000512785129282,-0.24519643045584216,-0.24757740982109966,0.6744186046511628,1.055919239999267,2021-10-31,0.20238349499873892,2020-02-29,-0.1545519921633296
mixed_model,train,10,0.002,top_10,43,1.7598802174127615,1.075422626952499,0.6844575904602626,0.026834685571379944,-0.2456480535853981,-0.24757740982109966,0.6511627906976745,0.5187428786383036,2021-10-31,0.22710185482955217,2020-02-29,-0.16638117266573124
mixed_model,train,15,0.002,top_15,43,1.5425652571458381,1.075422626952499,0.46714263019333924,0.025212873937775777,-0.2563730755200543,-0.24757740982109966,0.6046511627906976,0.2567220605485795,2021-10-31,0.21925650129344568,2020-02-29,-0.17266680769287426
mixed_model,validation,3,0.002,top_3,24,4.533457765157175,3.2415637612067236,1.2918940039504516,0.08120032647780077,-0.11682133757120183,-0.1617839465479347,0.6666666666666666,1.3915846621413812,2022-09-30,0.3104201949216272,2023-09-30,-0.11682133757120187
mixed_model,validation,5,0.002,top_5,24,4.795451036885683,3.2415637612067236,1.5538872756789592,0.0825896367410572,-0.10584546750008117,-0.1617839465479347,0.625,1.654696340678797,2022-09-30,0.3073586309942826,2022-08-31,-0.10584546750008121
mixed_model,validation,10,0.002,top_10,24,3.856381598486678,3.2415637612067236,0.6148178372799542,0.07374741798514405,-0.12319349380680822,-0.1617839465479347,0.6666666666666666,0.701764182999671,2022-07-31,0.27928309673853413,2023-09-30,-0.0887849398083648
mixed_model,validation,15,0.002,top_15,24,3.533403700505116,3.2415637612067236,0.29183993929839236,0.07044036442380065,-0.10614258370373764,-0.1617839465479347,0.6666666666666666,0.4128881052242504,2023-06-30,0.2764430000513676,2023-09-30,-0.10614258370373766
momentum_heavy,out_of_sample,3,0.002,top_3,31,0.639137125188247,0.7017284489818203,-0.06259132379357335,0.019266833571117022,-0.16603700415415124,-0.1675447420399082,0.6129032258064516,-0.08821371919865001,2025-12-31,0.273326540254691,2026-02-28,-0.13060109111342613
momentum_heavy,out_of_sample,5,0.002,top_5,31,0.3216818628842688,0.7017284489818203,-0.3800465860975515,0.01194760498358747,-0.20136008186935916,-0.1675447420399082,0.5483870967741935,-0.5085732014491731,2025-12-31,0.2354717394308512,2024-09-30,-0.12050022655652584
momentum_heavy,out_of_sample,10,0.002,top_10,31,0.4502442999311074,0.7017284489818203,-0.2514841490507129,0.014793246007196104,-0.20664790286434753,-0.1675447420399082,0.5161290322580645,-0.40671543865037574,2025-12-31,0.24068889351107292,2024-09-30,-0.11527798799698061
momentum_heavy,out_of_sample,15,0.002,top_15,31,0.6260241653149206,0.7017284489818203,-0.07570428366689974,0.0180836976346063,-0.1679969822348767,-0.1675447420399082,0.6129032258064516,-0.10524663523342731,2025-12-31,0.2219360977493483,2024-09-30,-0.10414265467540912
momentum_heavy,train,3,0.002,top_3,43,1.1358879422983534,1.075422626952499,0.06046531534585453,0.021681862872557637,-0.33801556200937966,-0.24757740982109966,0.6511627906976745,-0.28998441332406755,2021-10-31,0.23540868306964624,2020-02-29,-0.24928421672750553
momentum_heavy,train,5,0.002,top_5,43,1.9625332264293207,1.075422626952499,0.8871105994768218,0.028729832581223066,-0.24519643045584205,-0.24757740982109966,0.6511627906976745,0.7222991339139749,2021-10-31,0.20238349499873892,2020-02-29,-0.1545519921633296
momentum_heavy,train,10,0.002,top_10,43,1.6539924421884318,1.075422626952499,0.5785698152359329,0.026057492704825484,-0.2404282878026327,-0.24757740982109966,0.6511627906976745,0.4232946349795047,2021-10-31,0.22710185482955217,2020-02-29,-0.16638117266573124
