symbol,selection_count,avg_next_month_return,median_next_month_return,best_next_month_return,worst_next_month_return,avg_score,avg_momentum_1m,avg_momentum_3m,avg_momentum_6m,avg_volume_change,avg_volatility,avg_ma_trend_signal,avg_relative_strength_vs_bist100,avg_daily_traded_value_21,illiquid_selection_rate,speculative_selection_rate
BIMAS.IS,1133,0.03694525775343213,0.028588499776726062,0.26744879310754044,-0.13669069230845443,0.6826605576034475,0.04789706110099825,0.14969300412231543,0.2853317900044923,0.004409315586701539,0.02163185666733783,0.8137687555163283,0.03072545588827882,1161834410.8931546,0.0,0.0
TUPRS.IS,1043,0.03265299895083022,0.002874401294836293,0.3646034432609575,-0.2504940030799836,0.6651006711409396,0.07023471139703712,0.19461251205497698,0.37771010319886716,0.022941042997633342,0.023794916085761644,0.7550335570469798,0.04773077401347117,1984550349.936546,0.0,0.05081495685522531
FROTO.IS,1018,0.03830892954045358,0.015276154907049477,0.34766283542353826,-0.32291003984063005,0.657095804923148,0.06168164800540256,0.1667633533197007,0.3373457079213866,0.05478390144470236,0.025701738525065094,0.7951866404715128,0.04111037965250872,597172181.1710279,0.0,0.060903732809430254
KCHOL.IS,1014,0.03624475460795626,0.020855991452588207,0.3159897615429912,-0.23515987592706056,0.6191495533124493,0.04717779793031438,0.1452261214891454,0.27044687161313746,0.009742603174815836,0.022576862818888575,0.7421104536489151,0.01837886257045906,1592733908.800661,0.0,0.0
TOASO.IS,990,0.042128018678166505,0.04054054054054057,0.46343557452491546,-0.27216002677716755,0.6613562091503268,0.08026602172057618,0.21469452445985515,0.3996168029177792,0.033295594538336554,0.025922650490128752,0.8414141414141414,0.05341376988050655,567591128.9681975,0.0,0.07777777777777778
SAHOL.IS,977,0.03628412010120116,0.03773591409062527,0.3010083778594135,-0.17938924770187603,0.5923415015955206,0.05135876481537035,0.12931177484322037,0.24886189246329238,0.023676944958606685,0.023322707232518825,0.7354145342886387,0.014958648855496994,1125724856.0668025,0.0,0.0
EREGL.IS,961,0.029651237259717706,0.019070372887549647,0.3422937861981632,-0.20643287230406004,0.6615917855175368,0.05811495584644367,0.17251136794348132,0.2975435829018788,0.021598627666767206,0.023606282544610415,0.7726326742976066,0.042021836125612694,2409811191.822514,0.0,0.019771071800208116
SISE.IS,955,0.03764473996830974,0.03139011614627618,0.4491917739529223,-0.20034263259995233,0.6404357868801971,0.06301784932270872,0.15488407700762105,0.28688385107212405,0.07059462639799516,0.02385343354692167,0.7465968586387435,0.03706381705358614,1302126399.147824,0.0,0.0
TCELL.IS,941,0.019686565272112294,0.010040061320325977,0.42424246601907845,-0.17377825611070086,0.6195333500031256,0.04207235859651009,0.10841561692901801,0.20664736292457495,0.015956159029586463,0.022222682787548274,0.7598299681190224,0.0229447146707305,1153516620.876092,0.0,0.015940488841657812
ASELS.IS,931,0.06012449847711448,0.05355131883687014,0.5133182125319022,-0.15016217203037008,0.6699137549756745,0.09013969362569588,0.24518045204404323,0.5019326323929505,0.04359696566961215,0.02676323585647538,0.8399570354457573,0.06516593572998702,3430769086.4414344,0.0,0.01288936627282492
GARAN.IS,919,0.0367615141076304,0.03311743610603668,0.5840220581204423,-0.24999991537117427,0.6291237278371631,0.07162029146410723,0.19354035992198454,0.34015639957946514,-0.00270470759378941,0.026441929223992484,0.8171926006528836,0.04451744973343313,1987340224.3287091,0.0,0.08052230685527748
THYAO.IS,907,0.05115482365474024,0.008921330664572125,0.4503966985703727,-0.2680249848335805,0.6295414748038135,0.08044054911403409,0.21439847193430428,0.4735926702136442,0.000912622172702982,0.02556285724760825,0.7364939360529217,0.045043315639891286,6173652914.768401,0.0,0.06725468577728776
PGSUS.IS,895,0.05603567125245881,0.03403195746534782,0.5467835759167563,-0.2657856343993582,0.6574416694051922,0.10551345705037819,0.27008705102729563,0.5510478717154342,0.008896218115987582,0.029551171178494522,0.8044692737430168,0.07056933338386287,1055271643.0415515,0.0,0.05698324022346369
YKBNK.IS,886,0.04561124162220696,0.04579206547682424,0.4821052970742916,-0.23741337091059822,0.6158295711060948,0.07466228231021632,0.18372816101877687,0.3282818170687877,0.029972044657590968,0.02727635004153965,0.8019187358916479,0.04131671158594976,2686853944.375836,0.0,0.060948081264108354
ARCLK.IS,864,0.02304899764388034,0.02616320855896237,0.3499480361534584,-0.2505543431974042,0.6143603622004357,0.05785312784359097,0.16151707831438633,0.28232481393521053,0.013070912029166507,0.023939310840518573,0.78125,0.03409061443091031,289927392.44953436,0.0,0.034722222222222224
AKBNK.IS,846,0.028056358923691804,0.01538461538461533,0.3831682654708304,-0.2444223565160505,0.5976133361145877,0.07036761504720057,0.17198681599366955,0.29713838723769415,0.01749327062277924,0.027058943304973625,0.7718676122931442,0.03968874548414913,3083328499.8648825,0.0,0.0673758865248227
PETKM.IS,725,0.009806100147943373,0.0,0.6057907362323618,-0.18186369375089106,0.5861338742393509,0.06650818577430223,0.13931320644159756,0.21549479011623088,0.0564808792290413,0.025201866925972132,0.6903448275862069,0.03913280085259048,1193525049.018686,0.0,0.002758620689655172
